id,name,type,rarity,get,man,unit,trigger,trigger_1,rate,effects_json,prep_turns,description
S000,通常攻撃,通常,0,,,,,,100,"[{""type"":""dmg_weapon"",""target"":""enemy_random_1"",""value"":""1""}]",0,通常攻撃
S001,新生,指揮,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,戦闘中、友軍複数(2名)の与ダメージが7%→14%(統率依存)増加。|大将技：ターン終了時に敵軍部隊の総兵力が初めて35%→70%以下になる場合、自身は毎ターン行動時に兵力を回復(回復率65%、知略依存)
S002,時は今,能動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,35→70,35,70,,0,敵軍複数(2名)に以下のいずれか1種を付与(既存と異なる状態を優先、ダメージ率56%)火傷(知略依存)、水攻め(知略依存)、中毒(知略依存)、消沈(知略依存)、潰走(武勇依存)。付与状態の持続期間は3ターン。|大将技：すべての継続状態を所有する対象への状態を浄化不可(発動確率35%→70%)
S003,千成瓢箪,指揮,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,毎ターン自軍複数(2名)を回復し(回復率38%→76%、知略依存)、17.5%→35%の確率で自軍全体を回復。|大将技：自軍全体の回復確率が35%→70%に増加
S004,古今独歩,受動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,通常攻撃を受けると24%→48%の確率で攻撃者に兵刃ダメージ(ダメージ率35%→70%、通常攻撃効果と突撃を発動可能)を与え、2%→4%の離反を獲得(最大8回まで重ねがけ可能)。|大将技：重ねがけ可能回数が10回に増加
S005,破陣乱舞,能動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,50,50,50,,0,1ターンの間、自身と武勇が最も高い友軍単体が23%→46%(武勇依存)の破陣を獲得。さらに自身はこのターンの間、通常攻撃時に1回の兵刃ダメージ(ダメージ率103%→206%)を追加で付与。発動後、この戦法は1ターンの間再発動不可。|大将技：強化通常攻撃発動時、35%の確率で攻撃対象が1増加
S006,三河魂,指揮,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,友軍複数(2名)が通常攻撃を受けると、攻撃者の全属性に1.25%→2.5%(統率依存)の低下効果を付与(最大8回まで重ねがけ可能)。|大将技：自身が通常攻撃を受けると1ターンの間、40%→80%の確率で武勇が最も高い自軍単体が自身を援護
S007,風林火山,指揮,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,戦闘中、2ターンごとに風林火山の順で旗効果発動。最初のターンの旗は自身の最も高い属性で決定(速度＝風、知略＝林、武勇＝火、統率＝山)|・風:自軍複数(2~3名)の兵刃与ダメージが11%→22%上昇(速度依存)|・林:敵軍複数(2~3名)への計略ダメージ(46%→92%、知略依存)|・火:敵軍単体への兵刃攻撃1~2回(78%→156%)|・山:自軍複数(2~3名)の兵刃被ダメージが11%→22%低下(統率依存)。|大将技：対象人数増加の確率が25%上昇
S008,軍神,受動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,戦闘中、乱舞獲得不可。友軍複数(2名)が通常攻撃・能動戦法・突撃戦法発動時、33%→66%の確率(武勇依存)で自身は「溜め」を開始し、通常攻撃ダメージ5%→10%上昇(武勇依存)。「溜め」は12回まで重ねがけができ、最大時は通常攻撃の与ダメージが80%→160%上昇(武勇依存)。通常攻撃後、「溜め」はリセットされる。|大将技：毎ターン行動前、追加で1回分の「溜め」を獲得。
S009,地黄八幡,能動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,35,35,35,"[{""type"":""dmg_weapon"",""target"":""enemy_random_3"",""value"":""174""},{""type"":""status"",""target"":""last_target"",""effect"":""封撃"",""condition"":""[is_sub,rmd=36]""},{""type"":""status"",""target"":""last_target"",""effect"":""無策"",""condition"":""""},{""type"":""status"",""target"":""last_target"",""effect"":""封撃"",""condition"":""""},{""type"":""status"",""target"":""last_target"",""effect"":""無策"",""condition"":""""}]",1,1ターンの準備後、敵軍全体に兵刃ダメージ(ダメージ率87%→174%)。18%→36%の確率(武勇依存)で対象に1ターンの間封撃·無策を付与(対象ごとに判定)。|大将技：制御状態の基本付与確率が22%→44%に上昇
S010,百万一心,指揮,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,戦闘中、敵軍複数(2名。7.5%→15%の確率で敵軍全体)が能動戦法を発動するたびに、15%→30%の確率でその発動を阻止し、計略ダメージ(ダメージ率100%、知略依存)。|大将技：敵軍全体が対象となる確率が17.5%→35%まで増加
S011,一切皆空,受動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,100,100,100,,0,2ターン目以降、30%の確率(毎ターン発動率が40%増加)で一揆を発動。一揆発動後、自身は毎ターン行動時に80%～90%の確率(発動時のターン数依存)で1ターンの間、敵軍複数(2～3名)に一揆状態(ダメージ率36%→72%、武勇と知略のうち高い方に依存、防御無視)を付与し、与えたダメージ量の12.5%→25%を自軍雑賀本願寺武将への回復効果に均等に転換。|大将技：友軍に雑賀本願寺武将が1名いるごとに、一揆のダメージ率が12%増加
S012,冷徹無情,能動,5,固有,,騎兵|弓兵|鉄砲|足軽|兵器,35,35,35,,0,敵軍複数(2名)に兵刃ダメージ(ダメージ率71%→142%、さらに対象の兵力損失に応じて最大25%→50%増加)を付与。対象の兵力が75%(2回目以降は50%)未満の場合、2ターンの間、自身の能動戦法の発動確率が10%上昇(最大2回まで重ねがけ可能)。|大将技：発動率上昇効果は4ターン持続
